feature,mean_abs_shap
Humidity,0.10608704391537631
WindGustSpeed,0.052995056147473026
Pressure,0.047845246251875986
Sunshine,0.03969130310222283
Cloud,0.033945841088400444
Temperature,0.012278689652822155
Evaporation,0.00883580803089242
WindSpeed,0.008516115267378102
WindGustDir_N,0.00337720593395316
Month_Aug,0.0025544199775574777
Month_Sep,0.002483020203326109
WindGustDir_NNW,0.0023613832182154174
WindGustDir_NW,0.0022130229735183816
WindGustDir_WNW,0.0019088215990917324
WindGustDir_NNE,0.0018836972876376506
Month_Apr,0.0018594167805067428
Month_Jul,0.00184931690763382
Month_Oct,0.0016981019170509374
Month_Nov,0.0016892376228077948
Month_May,0.001667017743577416
