model,balanced_accuracy,macro_f1,macro_recall,roc_auc,precision_0,recall_0,precision_1,recall_1,threshold
RandomForest_SMOTE_TUNED (thresholded),0.7900547518273838,0.7552946580977775,0.7900547518273838,0.8766845916734812,0.9215247601428387,0.8281715191586436,0.5543968715531936,0.751937984496124,0.402
LogisticRegression,0.7723842716855992,0.7225505919999173,0.7723842716855992,0.8559513437823596,0.9216099752452553,0.7773266829060821,0.4949131731275215,0.7674418604651163,
RandomForest_SMOTE_TUNED,0.7723399825143354,0.7697289980826834,0.7723399825143354,0.8766845916734812,0.9001363724917203,0.8932451765069791,0.6343530658190968,0.6514347885216918,
RandomForest_SMOTE,0.7721853214154684,0.7694709167488604,0.7721853214154684,0.8764382234630866,0.9001052344389445,0.8929358543092448,0.6336817039290912,0.6514347885216918,
GradientBoosting_SMOTE,0.7516393185175132,0.7577459467660114,0.7516393185175132,0.8653869643883355,0.8879572013962665,0.904883424196729,0.641399416909621,0.5983952128382973,
